is_grand_final,updated,hteamid,timestr,complete,tz,unixtime,winner,ascore,hgoals,ateam,abehinds,is_final,date,hbehinds,hteam,venue,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:11,3,Full Time,100,+10:00,1181380500,Carlton,102,22,Port Adelaide,18,0,2007-06-09 19:15:00,9,Carlton,Docklands,3.0,11,141,14,9498,13,2007-06-09 19:15:00,2007,Round 11
0,2022-01-25 11:07:11,5,Full Time,100,+10:00,1181295600,Essendon,94,15,West Coast,10,0,2007-06-08 19:40:00,5,Essendon,Docklands,5.0,11,95,14,9496,17,2007-06-08 19:40:00,2007,Round 11
0,2022-01-25 11:07:11,6,Full Time,100,+10:00,1181450400,Fremantle,102,18,Richmond,12,0,2007-06-10 14:40:00,15,Fremantle,Subiaco,6.0,11,123,15,9502,14,2007-06-10 12:40:00,2007,Round 11
0,2022-01-25 11:07:11,10,Full Time,100,+10:00,1181362200,Sydney,75,9,Sydney,9,0,2007-06-09 14:10:00,12,Hawthorn,M.C.G.,16.0,11,66,11,9497,16,2007-06-09 14:10:00,2007,Round 11
0,2022-01-25 11:07:11,11,Full Time,100,+10:00,1181535300,Melbourne,81,13,Collingwood,15,0,2007-06-11 14:15:00,16,Melbourne,M.C.G.,11.0,11,94,11,9503,4,2007-06-11 14:15:00,2007,Round 11
0,2022-01-25 11:07:11,15,Full Time,100,+10:00,1181448600,North Melbourne,80,8,North Melbourne,14,0,2007-06-10 14:10:00,10,St Kilda,Docklands,12.0,11,58,11,9501,12,2007-06-10 14:10:00,2007,Round 11
0,2022-01-25 11:07:11,3,Full Time,100,+10:00,1181900400,Hawthorn,180,12,Hawthorn,18,0,2007-06-15 19:40:00,8,Carlton,Docklands,10.0,12,80,27,9504,10,2007-06-15 19:40:00,2007,Round 12
0,2022-01-25 11:07:11,7,Full Time,100,+10:00,1182049800,Geelong,35,12,Brisbane Lions,5,0,2007-06-17 13:10:00,13,Geelong,Kardinia Park,7.0,12,85,5,9507,2,2007-06-17 13:10:00,2007,Round 12
0,2022-01-25 11:07:11,12,Full Time,100,+10:00,1181985300,Adelaide,100,7,Adelaide,10,0,2007-06-16 19:15:00,12,North Melbourne,Carrara,1.0,12,54,15,9505,1,2007-06-16 19:15:00,2007,Round 12
0,2022-01-25 11:07:11,13,Full Time,100,+10:00,1182060600,Port Adelaide,95,19,Essendon,17,0,2007-06-17 16:10:00,12,Port Adelaide,Football Park,13.0,12,126,13,9508,5,2007-06-17 15:40:00,2007,Round 12
0,2022-01-25 11:07:11,14,Full Time,100,+10:00,1182505200,Richmond,75,18,Melbourne,9,0,2007-06-22 19:40:00,16,Richmond,M.C.G.,14.0,12,124,11,9509,11,2007-06-22 19:40:00,2007,Round 12
0,2022-01-25 11:07:11,16,Full Time,100,+10:00,1182590100,Collingwood,76,8,Collingwood,16,0,2007-06-23 19:15:00,9,Sydney,Stadium Australia,4.0,12,57,10,9510,4,2007-06-23 19:15:00,2007,Round 12
0,2022-01-25 11:07:11,17,Full Time,100,+10:00,1182660000,St Kilda,99,11,St Kilda,9,0,2007-06-24 14:40:00,10,West Coast,Subiaco,15.0,12,76,15,9511,15,2007-06-24 12:40:00,2007,Round 12
0,2022-01-25 11:07:11,18,Full Time,100,+10:00,1181985000,Western Bulldogs,115,22,Fremantle,19,0,2007-06-16 19:10:00,9,Western Bulldogs,Marrara Oval,18.0,12,141,16,9506,6,2007-06-16 18:40:00,2007,Round 12
0,2022-01-25 11:07:11,1,Full Time,100,+10:00,1183257600,West Coast,95,10,West Coast,11,0,2007-07-01 12:40:00,14,Adelaide,Football Park,17.0,13,74,14,9517,17,2007-07-01 12:10:00,2007,Round 13
0,2022-01-25 11:07:11,2,Full Time,100,+10:00,1183194900,Port Adelaide,112,15,Port Adelaide,10,0,2007-06-30 19:15:00,15,Brisbane Lions,Gabba,13.0,13,105,17,9515,13,2007-06-30 19:15:00,2007,Round 13
0,2022-01-25 11:07:11,4,Full Time,100,+10:00,1183273800,Hawthorn,95,12,Hawthorn,5,0,2007-07-01 17:10:00,15,Collingwood,Docklands,10.0,13,87,15,9519,10,2007-07-01 17:10:00,2007,Round 13
0,2022-01-25 11:07:11,5,Full Time,100,+10:00,1183110000,Essendon,123,19,Melbourne,15,0,2007-06-29 19:40:00,11,Essendon,Docklands,5.0,13,125,18,9512,11,2007-06-29 19:40:00,2007,Round 13
0,2022-01-25 11:07:11,6,Full Time,100,+10:00,1183176600,Fremantle,96,27,Carlton,18,0,2007-06-30 14:10:00,11,Fremantle,Subiaco,6.0,13,173,13,9514,3,2007-06-30 12:10:00,2007,Round 13
0,2022-01-25 11:07:11,7,Full Time,100,+10:00,1183176600,Geelong,69,13,Sydney,9,0,2007-06-30 14:10:00,9,Geelong,Kardinia Park,7.0,13,87,10,9513,16,2007-06-30 14:10:00,2007,Round 13
0,2022-01-25 11:07:11,12,Full Time,100,+10:00,1183263000,North Melbourne,85,17,Western Bulldogs,19,0,2007-07-01 14:10:00,9,North Melbourne,M.C.G.,12.0,13,111,11,9518,18,2007-07-01 14:10:00,2007,Round 13
0,2022-01-25 11:07:11,15,Full Time,100,+10:00,1183194900,St Kilda,100,17,Richmond,10,0,2007-06-30 19:15:00,15,St Kilda,Docklands,15.0,13,117,15,9516,14,2007-06-30 19:15:00,2007,Round 13
0,2022-01-25 11:07:11,1,Full Time,100,+10:00,1183799400,Adelaide,31,15,Hawthorn,7,0,2007-07-07 19:10:00,12,Adelaide,Football Park,1.0,14,102,4,9524,10,2007-07-07 18:40:00,2007,Round 14
0,2022-01-25 11:07:11,3,Full Time,100,+10:00,1183867800,Melbourne,124,14,Melbourne,10,0,2007-07-08 14:10:00,17,Carlton,M.C.G.,11.0,14,101,19,9526,11,2007-07-08 14:10:00,2007,Round 14
0,2022-01-25 11:07:11,4,Full Time,100,+10:00,1183781400,Collingwood,80,12,St Kilda,8,0,2007-07-07 14:10:00,17,Collingwood,M.C.G.,4.0,14,89,12,9521,15,2007-07-07 14:10:00,2007,Round 14
0,2022-01-25 11:07:11,5,Full Time,100,+10:00,1183714800,Geelong,133,12,Geelong,19,0,2007-07-06 19:40:00,11,Essendon,Docklands,7.0,14,83,19,9520,7,2007-07-06 19:40:00,2007,Round 14
0,2022-01-25 11:07:11,14,Full Time,100,+10:00,1183878600,North Melbourne,104,11,North Melbourne,20,0,2007-07-08 17:10:00,13,Richmond,Docklands,12.0,14,79,14,9527,12,2007-07-08 17:10:00,2007,Round 14
0,2022-01-25 11:07:11,16,Full Time,100,+10:00,1183864200,Sydney,61,11,Fremantle,7,0,2007-07-08 13:10:00,23,Sydney,S.C.G.,16.0,14,89,9,9525,6,2007-07-08 13:10:00,2007,Round 14
0,2022-01-25 11:07:11,17,Full Time,100,+10:00,1183794000,Brisbane Lions,91,9,Brisbane Lions,13,0,2007-07-07 17:40:00,10,West Coast,Subiaco,2.0,14,64,13,9523,2,2007-07-07 15:40:00,2007,Round 14
0,2022-01-25 11:07:11,18,Full Time,100,+10:00,1183781400,Western Bulldogs,113,20,Port Adelaide,11,0,2007-07-07 14:10:00,13,Western Bulldogs,Docklands,18.0,14,133,17,9522,13,2007-07-07 14:10:00,2007,Round 14
