unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals
1559460000,West Coast,72,21,12,Western Bulldogs,0,2019-06-02 20:00:05,17,100,Full Time,+10:00,3209,18,2019,2019-06-02 15:20:00,Round 11,0,2019-06-02 17:20:00,Perth Stadium,West Coast,7,17,11,133,10
1559986800,Adelaide,61,12,7,Greater Western Sydney,0,2019-06-08 22:12:02,1,100,Full Time,+10:00,3222,9,2019,2019-06-08 19:10:00,Round 12,0,2019-06-08 19:40:00,Adelaide Oval,Adelaide,10,1,12,82,9
1559965500,Carlton,63,11,9,Brisbane Lions,0,2019-06-08 16:20:03,3,100,Full Time,+10:00,3220,2,2019,2019-06-08 13:45:00,Round 12,0,2019-06-08 13:45:00,Marvel Stadium,Carlton,12,3,12,78,9
1560144000,Collingwood,57,15,15,Melbourne,0,2019-06-10 17:58:02,4,100,Full Time,+10:00,3224,11,2019,2019-06-10 15:20:00,Round 12,0,2019-06-10 15:20:00,M.C.G.,Collingwood,8,4,12,98,7
1559975700,North Melbourne,99,11,15,North Melbourne,0,2019-06-08 19:14:03,8,100,Full Time,+10:00,3221,12,2019,2019-06-08 16:35:00,Round 12,0,2019-06-08 16:35:00,Carrara,Gold Coast,6,12,12,72,14
1559901000,Geelong,104,5,8,Geelong,0,2019-06-07 22:26:02,14,100,Full Time,+10:00,3219,7,2019,2019-06-07 19:50:00,Round 12,0,2019-06-07 19:50:00,M.C.G.,Richmond,7,7,12,37,16
1560057600,Sydney,71,18,11,West Coast,0,2019-06-09 17:58:03,16,100,Full Time,+10:00,3223,17,2019,2019-06-09 15:20:00,Round 12,0,2019-06-09 15:20:00,S.C.G.,Sydney,8,16,12,116,10
1560419400,Adelaide,68,15,14,Richmond,0,2019-06-13 22:26:02,1,100,Full Time,+10:00,3225,14,2019,2019-06-13 19:20:00,Round 13,0,2019-06-13 19:50:00,Adelaide Oval,Adelaide,11,1,13,101,9
1560590700,Western Bulldogs,103,15,13,Western Bulldogs,0,2019-06-15 22:08:02,3,100,Full Time,+10:00,3229,18,2019,2019-06-15 19:25:00,Round 13,0,2019-06-15 19:25:00,Marvel Stadium,Carlton,10,18,13,100,15
1560505800,Essendon,77,14,11,Hawthorn,0,2019-06-14 22:22:03,5,100,Full Time,+10:00,3226,10,2019,2019-06-14 19:50:00,Round 13,0,2019-06-14 19:50:00,Marvel Stadium,Essendon,12,5,13,96,11
1560580500,Fremantle,79,15,7,Port Adelaide,0,2019-06-15 19:14:03,6,100,Full Time,+10:00,3228,13,2019,2019-06-15 14:35:00,Round 13,0,2019-06-15 16:35:00,Perth Stadium,Fremantle,10,6,13,100,12
1560570300,St Kilda,80,11,14,St Kilda,0,2019-06-15 16:28:02,8,100,Full Time,+10:00,3227,15,2019,2019-06-15 13:45:00,Round 13,0,2019-06-15 13:45:00,Riverway Stadium,Gold Coast,10,15,13,76,11
